_id,name,slug,images[0],category,batchNumber,barcode,expiryDate,mrp,sellingPrice,stockQuantity,lowStockThreshold,prescriptionRequired,description,dosage,manufacturer,gst,isActive,isFeatured,totalSold,createdAt,updatedAt,__v,isLowStock
6a1171bb1362d4d7ded50e48,Riyansh Sanitary Napkin,riyansh-sanitary-napkin-mpi53jpf,https://myriyansh.com/site/gallery/gallery/img/19.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123267,,2027-05-23T09:22:03.267Z,70,50,98,10,false,,,,0,true,false,2,2026-05-23T09:22:03.268Z,2026-05-31T09:04:22.358Z,0,false
6a1171bb1362d4d7ded50e49,Herbal ToothPaste 150 Gm,herbal-toothpaste-150-gm-mpi53jpo,https://myriyansh.com/site/gallery/gallery/img/20.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123276,,2027-05-23T09:22:03.276Z,70,50,100,10,false,,,,0,true,false,0,2026-05-23T09:22:03.277Z,2026-05-23T09:22:03.277Z,0,
6a1171bb1362d4d7ded50e4a,Noni ToothPaste 150 Gm,noni-toothpaste-150-gm-mpi53jpx,https://myriyansh.com/site/gallery/gallery/img/21.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123285,,2027-05-23T09:22:03.285Z,70,50,99,10,false,,,,0,true,false,1,2026-05-23T09:22:03.286Z,2026-06-07T12:23:57.602Z,0,false
6a1171bb1362d4d7ded50e4b,Riyansh Rose Petals Face & Body Scrub,riyansh-rose-petals-face-and-body-scrub-mpi53jq8,https://myriyansh.com/site/gallery/gallery/img/22.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123296,,2027-05-23T09:22:03.296Z,70,50,100,10,false,,,,0,true,false,0,2026-05-23T09:22:03.297Z,2026-05-23T09:22:03.297Z,0,
6a1171bb1362d4d7ded50e4c,Riyansh Foam Facewash - Sea Bucthorn,riyansh-foam-facewash-sea-bucthorn-mpi53jqh,https://myriyansh.com/site/gallery/gallery/img/23.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123305,,2027-05-23T09:22:03.305Z,70,50,99,10,false,,,,0,true,false,1,2026-05-23T09:22:03.307Z,2026-06-01T12:51:13.773Z,0,false
6a1171bb1362d4d7ded50e4d,Riyansh Golden Facial Glow Kit 50 Gm 5,riyansh-golden-facial-glow-kit-50-gm-5-mpi53jqr,https://myriyansh.com/site/gallery/gallery/img/24.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123315,,2027-05-23T09:22:03.315Z,70,50,100,10,false,,,,0,true,false,0,2026-05-23T09:22:03.316Z,2026-05-23T09:22:03.316Z,0,
6a1171bb1362d4d7ded50e4e,RiyanshBlack Jaguar,riyanshblack-jaguar-mpi53jr1,https://myriyansh.com/site/gallery/gallery/img/25.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123325,,2027-05-23T09:22:03.325Z,70,50,99,10,false,,,,0,true,false,1,2026-05-23T09:22:03.326Z,2026-05-31T08:42:08.024Z,0,false
6a1171bb1362d4d7ded50e4f,Riyansh Pink Jaguar,riyansh-pink-jaguar-mpi53jra,https://myriyansh.com/site/gallery/gallery/img/26.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123334,,2027-05-23T09:22:03.334Z,70,50,99,10,false,,,,0,true,false,1,2026-05-23T09:22:03.335Z,2026-06-07T12:01:16.098Z,0,false
6a1171bb1362d4d7ded50e50,Riyansh AgriJackpot 500ml,riyansh-agrijackpot-500ml-mpi53jrj,https://myriyansh.com/site/gallery/gallery/img/27.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123343,,2027-05-23T09:22:03.343Z,70,50,96,10,false,,,,0,true,false,4,2026-05-23T09:22:03.344Z,2026-06-07T09:04:21.566Z,0,false
6a1171bb1362d4d7ded50e51,Riyansh Kidney Stone Relief Drop 50ml,riyansh-kidney-stone-relief-drop-50ml-mpi53jrr,https://myriyansh.com/site/gallery/gallery/img/28.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123352,,2027-05-23T09:22:03.352Z,70,50,99,10,false,,,,0,true,false,1,2026-05-23T09:22:03.353Z,2026-06-07T09:19:20.723Z,0,false
6a1171bb1362d4d7ded50e52,Riyansh Eye Care Drop,riyansh-eye-care-drop-mpi53js2,https://myriyansh.com/site/gallery/gallery/img/34.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123362,,2027-05-23T09:22:03.362Z,70,50,98,10,false,,,,0,true,false,2,2026-05-23T09:22:03.365Z,2026-06-01T12:49:03.617Z,0,false
6a1171bb1362d4d7ded50e53,Riyansh Noni Drop,riyansh-noni-drop-mpi53jse,https://myriyansh.com/site/gallery/gallery/img/35.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123374,,2027-05-23T09:22:03.374Z,70,50,100,10,false,,,,0,true,false,0,2026-05-23T09:22:03.375Z,2026-05-23T09:22:03.375Z,0,
6a1171bb1362d4d7ded50e54,Riyansh Moringa Drop,riyansh-moringa-drop-mpi53jsq,https://myriyansh.com/site/gallery/gallery/img/36.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123386,,2027-05-23T09:22:03.386Z,70,50,97,10,false,,,,0,true,false,3,2026-05-23T09:22:03.386Z,2026-06-01T12:48:35.436Z,0,false
6a1171bb1362d4d7ded50e55,Riyansh Iron Drop,riyansh-iron-drop-mpwimt8n,https://myriyansh.com/site/gallery/gallery/img/37.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123397,,2027-05-23T00:00:00.000Z,699,609,99,10,false,,,,0,true,false,1,2026-05-23T09:22:03.398Z,2026-06-07T12:23:57.541Z,0,false
6a1171bb1362d4d7ded50e56,Riyansh Ear Drop,riyansh-ear-drop-mpwioxah,https://myriyansh.com/site/gallery/gallery/img/38.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123409,,2027-05-23T00:00:00.000Z,699,609,100,10,false,,,,0,true,false,0,2026-05-23T09:22:03.410Z,2026-06-07T09:04:26.151Z,0,false
6a1171bb1362d4d7ded50e57,Riyansh D- Control Capsules,riyansh-d-control-capsules-mpi5wo35,https://myriyansh.com/site/gallery/gallery/img/39.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123418,,2027-05-23T00:00:00.000Z,70,50,94,10,false,,,,0,true,false,6,2026-05-23T09:22:03.419Z,2026-06-08T11:06:03.182Z,0,false
6a1171bb1362d4d7ded50e58,Riyansh Punarnava Plus,riyansh-punarnava-plus-mpi5wgn4,https://myriyansh.com/site/gallery/gallery/img/40.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123429,,2027-05-23T00:00:00.000Z,70,50,96,10,false,,,,0,true,false,4,2026-05-23T09:22:03.430Z,2026-06-07T12:00:57.122Z,0,false
6a1171bb1362d4d7ded50e59,Riyansh Tensore Life,riyansh-tensore-life-mpwrqpq3,https://myriyansh.com/site/gallery/gallery/img/41.jpg,6a1171ba1362d4d7ded50e34,IMP-1779528123438,,2027-05-23T00:00:00.000Z,70,5,47,10,false,,,,0,true,false,4,2026-05-23T09:22:03.441Z,2026-06-07T12:44:19.303Z,0,false
